"ngram","Full_Rank","Tool_Rank","Control_Rank","Full_Freq","Tool_Freq","Control_Freq","Full vs Tool: LL","Full vs Tool: %DIFF","Full vs Tool: BIC","Full vs Tool: ELL","Full vs Tool: RRisk","Full vs Tool: LogRatio","Full vs Tool: OddsRatio","Full vs Control: LL","Full vs Control: %DIFF","Full vs Control: BIC","Full vs Control: ELL","Full vs Control: RRisk","Full vs Control: LogRatio","Full vs Control: OddsRatio","Tool vs Control: LL","Tool vs Control: %DIFF","Tool vs Control: BIC","Tool vs Control: ELL","Tool vs Control: RRisk","Tool vs Control: LogRatio","Tool vs Control: OddsRatio"
"feels","16","38","22","14","9","13","2.779811958861094","101.65656565656565656565656617","-5.054580344049346","0.0004776041042660465956689153","2.0165656565656565656565656617","1.01190037864716","2.0296705545324329854716595055","0.0304509147115926","-6.503496503496503496503496783","-7.5975802122187474","0.0000058580206803402297097615","0.9349650349650349650349650322","-0.0970156815723987","0.9341266468338291542711432241","3.213185313672654","-53.635775164526917682597907258","-4.562090532814206","0.0006197586722596622032085702","0.4636422483547308231740209274","-1.10891606021956","0.4602356006731447804136583259"
"hard","43","64","0","6","6","0","0.201554219283348","29.636363636363636363636364298","-7.632838083627092","0.0000482540075626040397483437","1.296363636363636363636363643","0.374470458031866","1.2979890310786106032906764227","4.740445954632114","941.8181818181818181818180978","-2.887585172298226","0.0020866785147756947538746334","10.418181818181818181818180978","3.38103161523224","10.469835466179159049360146752","3.539869602613620","703.64656381486676016830287638","-4.235406243873240","0.0015515101774264724022489241","8.036465638148667601683028764","3.00656115720038","8.066197183098591549295774997"
"real","45","0","0","6","0","0","7.022223981879916","1455.6363636363636363636365564","-0.812168321030524","0.0026718344354857423653604843","15.556363636363636363636365564","3.95943295875302","15.636197440585009140767826504","4.740445954632114","941.8181818181818181818180978","-2.887585172298226","0.0020866785147756947538746334","10.418181818181818181818180978","3.38103161523224","10.469835466179159049360146752","0.0399173903988630","-33.02945301542776998597476826","-7.7353584560879970","-0.0000183511602715841172947404","0.6697054698457223001402523174","-0.578401343520777","0.6695896176780077165906698864"
"thought","40","21","0","7","16","0","1.667861545400396","-43.2840909090909090909090906","-6.166530757510044","0.0002865580590411960929243674","0.567159090909090909090909094","-0.81817461991053","0.5643870082342177493138151887","5.841888738544298","1115.4545454545454545454544442","-1.786142388386042","0.0022767951426694070864893439","12.154545454545454545454544442","3.60342403656869","12.225983531564501372369625525","12.837075723607426","2043.057503506311360448807664","5.061799877120566","0.0028529345662370912857919414","21.43057503506311360448807664","4.42159865647922","21.662411347517730496453901799"
"wanted","17","13","40","14","24","6","0.705450275131956","-24.378787878787878787878787836","-7.128942027778484","0.0000995188298562024539596635","0.7562121212121212121212121216","-0.403137120631686","0.7530693677102516881522406384","2.260304063227976","102.57575757575757575757575846","-5.367727063702364","0.0004933607665701652544976857","2.0257575757575757575757575846","1.01846153584754","2.0389809699201964395334561153","5.545696444388160","167.88218793828892005610098278","-2.229579402098700","0.0009362900557062002960419885","2.6788218793828892005610098278","1.42159865647922","2.7075606276747503566333808944"
"understand","42","55","0","6","7","0","0.0357863801055188","11.116883116883116883116883306","-7.7986059228049212","0.0000081720287535115620082331","1.1111688311688311688311688331","0.152078036695418","1.1117785322538521807260381409","4.740445954632114","941.8181818181818181818180978","-2.887585172298226","0.0020866785147756947538746334","10.418181818181818181818180978","3.38103161523224","10.469835466179159049360146752","4.416675541263300","837.587657784011220196353359","-3.358600305223560","0.0016842838087609345141606736","9.37587657784011220196353359","3.22895357853683","9.417195207892882311486963008"
"cares","44","20","12","6","16","23","2.490445386089720","-51.386363636363636363636363244","-5.343946916820720","0.0004363046992280498531074797","0.4861363636363636363636363676","-1.04056704124698","0.483318098720292504570383911","13.180987618670328","-77.35177865612648221343873503","5.552956491739988","0.0024660380525616522231908849","0.2264822134387351778656126497","-2.14253034082477","0.2222398855416898497734679278","5.626443778987448","-53.411793402036709555460698895","-2.148832067499412","0.0008592951212618614562003105","0.4658820659796329044453930111","-1.10196329957779","0.459821153253160653715695345"
"expressing","49","65","0","6","6","0","0.201554219283348","29.636363636363636363636364298","-7.632838083627092","0.0000482540075626040397483437","1.296363636363636363636363643","0.374470458031866","1.2979890310786106032906764227","4.740445954632114","941.8181818181818181818180978","-2.887585172298226","0.0020866785147756947538746334","10.418181818181818181818180978","3.38103161523224","10.469835466179159049360146752","3.539869602613620","703.64656381486676016830287638","-4.235406243873240","0.0015515101774264724022489241","8.036465638148667601683028764","3.00656115720038","8.066197183098591549295774997"
"things","48","33","29","6","11","9","0.480279506473468","-29.289256198347107438016528412","-7.354112796436972","0.0000949776147579366563245293","0.7071074380165289256198347159","-0.499998659884275","0.7055010802725610769486455041","1.102994163541668","-42.121212121212121212121211877","-6.525036963388672","0.0002764219044988877198386264","0.5787878787878787878787878812","-0.788893386210067","0.5764777574649603900060938435","0.196847960844520","-18.147109241078385538413589153","-7.578427885642340","0.000039705969592575998833018","0.8185289075892161446158641085","-0.288894726325792","0.8171181782489202983902630525"
"work","55","78","0","5","5","0","0.167961849402790","29.636363636363636363636362537","-7.666430453507650","0.0000451947918893921287660997","1.2963636363636363636363636254","0.374470458031866","1.2977168949771689497716895135","3.664979397046710","768.18181818181818181818173223","-3.963051729883630","0.0019004594715068836032412656","8.681818181818181818181817322","3.11799720939845","8.716894977168949771689498188","2.689039890290730","569.7054698457223001402523938","-5.086235956196130","0.0014274489335869402241254558","6.697054698457223001402523938","2.74352675136658","6.7171006333567909922589728357"
"give","50","0","0","6","0","0","7.022223981879916","1455.6363636363636363636365564","-0.812168321030524","0.0026718344354857423653604843","15.556363636363636363636365564","3.95943295875302","15.636197440585009140767826504","4.740445954632114","941.8181818181818181818180978","-2.887585172298226","0.0020866785147756947538746334","10.418181818181818181818180978","3.38103161523224","10.469835466179159049360146752","0.0399173903988630","-33.02945301542776998597476826","-7.7353584560879970","-0.0000183511602715841172947404","0.6697054698457223001402523174","-0.578401343520777","0.6695896176780077165906698864"
"heart","47","15","20","6","22","13","6.037054023371420","-64.644628099173553719008264206","-1.797338279539020","0.0009556508883953467656143933","0.3535537190082644628099173579","-1.49999865988428","0.3500083097889313611434269567","3.725018181828082","-59.93006993006993006993006963","-3.903012945102258","0.0008322138300753125694209158","0.4006993006993006993006993037","-1.31940810290885","0.3974124595696807762621290974","0.1293428962216866","13.334771820045312331427338466","-7.6459329502651734","0.0000205629752830267748244704","1.1333477182004531233142733847","0.180590556975428","1.1354372123602892833662064486"
"needed","51","41","0","5","8","0","0.1382481694372920","-18.977272727272727272727272837","-7.6961441334731480","0.0000315697763347587448223771","0.8102272727272727272727272716","-0.303601447080772","0.8093607305936073059360730707","3.664979397046710","768.18181818181818181818173223","-3.963051729883630","0.0019004594715068836032412656","8.681818181818181818181817322","3.11799720939845","8.716894977168949771689498188","5.312713141088912","971.5287517531556802244038224","-2.462562705397948","0.0018192351227029760950525518","10.715287517531556802244038224","3.42159865647922","10.770098730606488011283498316"
"insincere","59","0","0","5","0","0","5.534035072334320","1196.3636363636363636363637733","-2.300357230576120","0.0025083307829648577577852697","12.963636363636363636363637733","3.69639855291923","13.018264840182648401826485771","3.664979397046710","768.18181818181818181818173223","-3.963051729883630","0.0019004594715068836032412656","8.681818181818181818181817322","3.11799720939845","8.716894977168949771689498188","0.0399173903988630","-33.02945301542776998597476826","-7.7353584560879970","-0.0000183511602715841172947404","0.6697054698457223001402523174","-0.578401343520777","0.6695896176780077165906698864"
"shows","0","32","16","0","11","16","9.296695294232784","-94.10743801652892561983471016","1.462302991322344","0.0022845163316655407331438126","0.0589256198347107438016528984","-4.08496116060543","0.0584976642275414444582248186","20.665998195728622","-97.28693181818181818181818155","13.037967068798282","0.0049367925400890527532955255","0.0271306818181818181818181845","-5.20393088548891","0.0266882673942701227830832222","4.013647942477306","-53.957748948106591865357643685","-3.761627904009554","0.0007076010493918948920897547","0.4604225105189340813464235632","-1.11896972488348","0.4562279151943462897526501763"
"asking","60","0","0","5","0","0","5.534035072334320","1196.3636363636363636363637733","-2.300357230576120","0.0025083307829648577577852697","12.963636363636363636363637733","3.69639855291923","13.018264840182648401826485771","3.664979397046710","768.18181818181818181818173223","-3.963051729883630","0.0019004594715068836032412656","8.681818181818181818181817322","3.11799720939845","8.716894977168949771689498188","0.0399173903988630","-33.02945301542776998597476826","-7.7353584560879970","-0.0000183511602715841172947404","0.6697054698457223001402523174","-0.578401343520777","0.6695896176780077165906698864"
"loves","0","36","27","0","9","9","7.205424516944072","-92.79797979797979797979797904","-0.628967785966368","0.0020088550485629296709961365","0.0720202020202020202020202096","-3.79545454341045","0.0715982012025668233035218099","10.501072862205352","-95.17676767676767676767676721","2.873041735275012","0.003441149788229726906540831","0.0482323232323232323232323279","-4.37385588693122","0.047799504825425698549845894","0.718513027179534","-33.029453015427769985974755148","-7.056762819307326","0.0001526549620546771765115646","0.6697054698457223001402524485","-0.578401343520777","0.6676076217360621030345800958"
"confident","52","0","0","5","0","0","5.534035072334320","1196.3636363636363636363637733","-2.300357230576120","0.0025083307829648577577852697","12.963636363636363636363637733","3.69639855291923","13.018264840182648401826485771","3.664979397046710","768.18181818181818181818173223","-3.963051729883630","0.0019004594715068836032412656","8.681818181818181818181817322","3.11799720939845","8.716894977168949771689498188","0.0399173903988630","-33.02945301542776998597476826","-7.7353584560879970","-0.0000183511602715841172947404","0.6697054698457223001402523174","-0.578401343520777","0.6695896176780077165906698864"
"meaningless","46","0","0","6","0","0","7.022223981879916","1455.6363636363636363636365564","-0.812168321030524","0.0026718344354857423653604843","15.556363636363636363636365564","3.95943295875302","15.636197440585009140767826504","4.740445954632114","941.8181818181818181818180978","-2.887585172298226","0.0020866785147756947538746334","10.418181818181818181818180978","3.38103161523224","10.469835466179159049360146752","0.0399173903988630","-33.02945301542776998597476826","-7.7353584560879970","-0.0000183511602715841172947404","0.6697054698457223001402523174","-0.578401343520777","0.6695896176780077165906698864"
"inspiration","0","29","0","0","12","0","10.355051997238330","-94.59848484848484848484848433","2.520659694327890","0.00241937135091424970975891","0.0540151515151515151515151567","-4.21049204268929","0.0535849628619069273912384469","0.00499109347358740","-13.181818181818181818181817227","-7.62304003345675260","-0.0000031693765333533260730309","0.8681818181818181818181818277","-0.203930885488911","0.8681218735788994997726240458","9.018494704954738","1507.2931276297335203366057528","1.243218858467878","0.0023494456502609032182687427","16.072931276297335203366057528","4.00656115720038","16.200848656294200848656294981"
"girlfriend","0","34","26","0","10","10","8.246275161735810","-93.51818181818181818181818116","0.411882858825370","0.0021476675523496960507594837","0.0648181818181818181818181884","-3.9474576368555","0.0643929058663028649386084645","11.931035676023910","-95.65909090909090909090909049","4.303004549093570","0.0036628729302698428338823788","0.0434090909090909090909090951","-4.52585898037627","0.0429740791268758526603001406","0.798347807977260","-33.029453015427769985974754864","-6.976928038509600","0.0001610337930443806940715814","0.6697054698457223001402524514","-0.578401343520777","0.6673728813559322033898305093"
"sure","0","37","0","0","9","0","7.205424516944072","-92.79797979797979797979797904","-0.628967785966368","0.0020088550485629296709961365","0.0720202020202020202020202096","-3.79545454341045","0.0715982012025668233035218099","0.00499109347358740","-13.181818181818181818181817227","-7.62304003345675260","-0.0000031693765333533260730309","0.8681818181818181818181818277","-0.203930885488911","0.8681218735788994997726240458","6.223565963201918","1105.469845722300140252454305","-1.551709883284942","0.0019539449049852981104966925","12.05469845722300140252454305","3.59152365792154","12.124911785462244177840508677"
"best","0","39","0","0","9","0","7.205424516944072","-92.79797979797979797979797904","-0.628967785966368","0.0020088550485629296709961365","0.0720202020202020202020202096","-3.79545454341045","0.0715982012025668233035218099","0.00499109347358740","-13.181818181818181818181817227","-7.62304003345675260","-0.0000031693765333533260730309","0.8681818181818181818181818277","-0.203930885488911","0.8681218735788994997726240458","6.223565963201918","1105.469845722300140252454305","-1.551709883284942","0.0019539449049852981104966925","12.05469845722300140252454305","3.59152365792154","12.124911785462244177840508677"
"easy","0","46","52","0","8","5","6.176338781983920","-91.89772727272727272727272639","-1.658053520926520","0.0018682913930805868440847269","0.0810227272727272727272727361","-3.62552954196813","0.0806048203728967712596634919","4.93716646179830","-91.31818181818181818181818089","-2.69086466513204","0.0025601466606583281707158263","0.0868181818181818181818181911","-3.52585898037627","0.0864029104138244656662119229","0.0147614854816932","7.1528751753155680224403924765","-7.7605143610051668","0.0000037542429330443674039011","1.0715287517531556802244039248","0.0996705615918607","1.0719322990126939351198871569"
"difficult","0","42","0","0","8","0","6.176338781983920","-91.89772727272727272727272639","-1.658053520926520","0.0018682913930805868440847269","0.0810227272727272727272727361","-3.62552954196813","0.0806048203728967712596634919","0.00499109347358740","-13.181818181818181818181817227","-7.62304003345675260","-0.0000031693765333533260730309","0.8681818181818181818181818277","-0.203930885488911","0.8681218735788994997726240458","5.312713141088912","971.5287517531556802244038224","-2.462562705397948","0.0018192351227029760950525518","10.715287517531556802244038224","3.42159865647922","10.770098730606488011283498316"
"edited","0","49","0","0","8","0","6.176338781983920","-91.89772727272727272727272639","-1.658053520926520","0.0018682913930805868440847269","0.0810227272727272727272727361","-3.62552954196813","0.0806048203728967712596634919","0.00499109347358740","-13.181818181818181818181817227","-7.62304003345675260","-0.0000031693765333533260730309","0.8681818181818181818181818277","-0.203930885488911","0.8681218735788994997726240458","5.312713141088912","971.5287517531556802244038224","-2.462562705397948","0.0018192351227029760950525518","10.715287517531556802244038224","3.42159865647922","10.770098730606488011283498316"
"bother","56","0","0","5","0","0","5.534035072334320","1196.3636363636363636363637733","-2.300357230576120","0.0025083307829648577577852697","12.963636363636363636363637733","3.69639855291923","13.018264840182648401826485771","3.664979397046710","768.18181818181818181818173223","-3.963051729883630","0.0019004594715068836032412656","8.681818181818181818181817322","3.11799720939845","8.716894977168949771689498188","0.0399173903988630","-33.02945301542776998597476826","-7.7353584560879970","-0.0000183511602715841172947404","0.6697054698457223001402523174","-0.578401343520777","0.6695896176780077165906698864"
"day","0","48","0","0","8","0","6.176338781983920","-91.89772727272727272727272639","-1.658053520926520","0.0018682913930805868440847269","0.0810227272727272727272727361","-3.62552954196813","0.0806048203728967712596634919","0.00499109347358740","-13.181818181818181818181817227","-7.62304003345675260","-0.0000031693765333533260730309","0.8681818181818181818181818277","-0.203930885488911","0.8681218735788994997726240458","5.312713141088912","971.5287517531556802244038224","-2.462562705397948","0.0018192351227029760950525518","10.715287517531556802244038224","3.42159865647922","10.770098730606488011283498316"
"guy","0","50","18","0","7","14","5.162068269311176","-90.74025974025974025974025888","-2.672324033599264","0.001726609725186406984339212","0.0925974025974025974025974112","-3.43288446402574","0.0921847593061781329175599397","17.732066904030752","-96.89935064935064935064935034","10.104035777100412","0.0045228076723448922784620411","0.0310064935064935064935064966","-5.01128580754652","0.0305658416163191060871824885","6.023272536966272","-66.514726507713884992987377068","-1.752003309520588","0.001187129897496270946379446","0.3348527349228611500701262293","-1.57840134352078","0.3315715292459478505990133862"
"tool","0","44","0","0","8","0","6.176338781983920","-91.89772727272727272727272639","-1.658053520926520","0.0018682913930805868440847269","0.0810227272727272727272727361","-3.62552954196813","0.0806048203728967712596634919","0.00499109347358740","-13.181818181818181818181817227","-7.62304003345675260","-0.0000031693765333533260730309","0.8681818181818181818181818277","-0.203930885488911","0.8681218735788994997726240458","5.312713141088912","971.5287517531556802244038224","-2.462562705397948","0.0018192351227029760950525518","10.715287517531556802244038224","3.42159865647922","10.770098730606488011283498316"
"man","0","51","30","0","7","9","5.162068269311176","-90.74025974025974025974025888","-2.672324033599264","0.001726609725186406984339212","0.0925974025974025974025974112","-3.43288446402574","0.0921847593061781329175599397","10.501072862205352","-95.17676767676767676767676721","2.873041735275012","0.003441149788229726906540831","0.0482323232323232323232323279","-4.37385588693122","0.047799504825425698549845894","1.691167912440434","-47.911796789777154433535920081","-6.084107934046426","0.0003820694273351831851768914","0.5208820321022284556646407992","-0.940971422905485","0.5185185185185185185185185119"
"itâ","0","62","0","0","6","0","4.167029417814348","-89.19696969696969696969696865","-3.667362885096092","0.0015854824227947662778877351","0.1080303030303030303030303135","-3.21049204268929","0.107624677883886615128088536","0.00499109347358740","-13.181818181818181818181817227","-7.62304003345675260","-0.0000031693765333533260730309","0.8681818181818181818181818277","-0.203930885488911","0.8681218735788994997726240458","3.539869602613620","703.64656381486676016830287638","-4.235406243873240","0.0015515101774264724022489241","8.036465638148667601683028764","3.00656115720038","8.066197183098591549295774997"
"send","0","60","0","0","6","0","4.167029417814348","-89.19696969696969696969696865","-3.667362885096092","0.0015854824227947662778877351","0.1080303030303030303030303135","-3.21049204268929","0.107624677883886615128088536","0.00499109347358740","-13.181818181818181818181817227","-7.62304003345675260","-0.0000031693765333533260730309","0.8681818181818181818181818277","-0.203930885488911","0.8681218735788994997726240458","3.539869602613620","703.64656381486676016830287638","-4.235406243873240","0.0015515101774264724022489241","8.036465638148667601683028764","3.00656115720038","8.066197183098591549295774997"
"romantic","0","54","0","0","7","0","5.162068269311176","-90.74025974025974025974025888","-2.672324033599264","0.001726609725186406984339212","0.0925974025974025974025974112","-3.43288446402574","0.0921847593061781329175599397","0.00499109347358740","-13.181818181818181818181817227","-7.62304003345675260","-0.0000031693765333533260730309","0.8681818181818181818181818277","-0.203930885488911","0.8681218735788994997726240458","4.416675541263300","837.587657784011220196353359","-3.358600305223560","0.0016842838087609345141606736","9.37587657784011220196353359","3.22895357853683","9.417195207892882311486963008"
"copied","37","0","0","7","0","0","8.536389117752302","1714.9090909090909090909093111","0.701996814841862","0.0028552533015324309779223432","18.149090909090909090909093111","4.18182538008947","18.25892040256175663311985604","5.841888738544298","1115.4545454545454545454544442","-1.786142388386042","0.0022767951426694070864893439","12.154545454545454545454544442","3.60342403656869","12.225983531564501372369625525","0.0399173903988630","-33.02945301542776998597476826","-7.7353584560879970","-0.0000183511602715841172947404","0.6697054698457223001402523174","-0.578401343520777","0.6695896176780077165906698864"
"wrong","0","66","0","0","6","0","4.167029417814348","-89.19696969696969696969696865","-3.667362885096092","0.0015854824227947662778877351","0.1080303030303030303030303135","-3.21049204268929","0.107624677883886615128088536","0.00499109347358740","-13.181818181818181818181817227","-7.62304003345675260","-0.0000031693765333533260730309","0.8681818181818181818181818277","-0.203930885488911","0.8681218735788994997726240458","3.539869602613620","703.64656381486676016830287638","-4.235406243873240","0.0015515101774264724022489241","8.036465638148667601683028764","3.00656115720038","8.066197183098591549295774997"
"card","0","61","0","0","6","0","4.167029417814348","-89.19696969696969696969696865","-3.667362885096092","0.0015854824227947662778877351","0.1080303030303030303030303135","-3.21049204268929","0.107624677883886615128088536","0.00499109347358740","-13.181818181818181818181817227","-7.62304003345675260","-0.0000031693765333533260730309","0.8681818181818181818181818277","-0.203930885488911","0.8681218735788994997726240458","3.539869602613620","703.64656381486676016830287638","-4.235406243873240","0.0015515101774264724022489241","8.036465638148667601683028764","3.00656115720038","8.066197183098591549295774997"
"letters","0","69","0","0","5","0","3.19796679264430","-87.03636363636363636363636232","-4.63642551026614","0.0014494954303759961107058605","0.1296363636363636363636363768","-2.9474576368555","0.1292405638926784902228285718","0.00499109347358740","-13.181818181818181818181817227","-7.62304003345675260","-0.0000031693765333533260730309","0.8681818181818181818181818277","-0.203930885488911","0.8681218735788994997726240458","2.689039890290730","569.7054698457223001402523938","-5.086235956196130","0.0014274489335869402241254558","6.697054698457223001402523938","2.74352675136658","6.7171006333567909922589728357"
